Entity,Code,Year,Annual CO2 emissions,Population,GDP per capita,Annual nitrous oxide emissions,Annual methane emissions,Annual greenhouse gas emissions,Per Capita CO2,GDP,Carbon emission intensity of economies,CO2 Global Share,Nitrous oxide per population,Methane per population
Argentina,ARG,1950,29921192.0,17017748,7949.0,16505606.0,74307940.0,188274460.0,1.758234520807336,135274078852.0,0.00022118939751004352,0.4984147311666038,0.9699054187428325,4.366496671592505
Argentina,ARG,1951,34962916.0,17354614,8086.0,17153328.0,76224696.0,188931300.0,2.014617899309083,140329408804.0,0.00024914888687967883,,0.988401585883731,4.3921861932509705
Argentina,ARG,1952,36095124.0,17693856,7519.0,18086396.0,77912904.0,187823870.0,2.039980657692704,133040103264.0,0.00027131010210037295,,1.0221851019924657,4.403387480942538
Argentina,ARG,1953,35134740.0,18032748,7769.0,19238686.0,79529160.0,187714530.0,1.9483852377907127,140096419212.0,0.0002507897075287312,,1.06687488784294,4.410262928312424
Argentina,ARG,1954,36750356.0,18369248,7938.0,20544074.0,81232970.0,190153170.0,2.000645644285493,145815090624.0,0.00025203396879383886,,1.1183949391940269,4.422226211982113
Argentina,ARG,1955,39559988.0,18700684,8348.0,21936440.0,83229020.0,195105460.0,2.1154300024533863,156113310032.0,0.00025340560642709463,,1.1730287512478152,4.450586941097983
Argentina,ARG,1956,44296736.0,19031200,8424.0,23349658.0,85314480.0,202852340.0,2.3275850182857623,160318828800.0,0.00027630401451635356,,1.2269146454243558,4.4828744377653535
Argentina,ARG,1957,47607776.0,19363792,8705.0,24717606.0,87293864.0,209486290.0,2.4585977787821722,168561809360.0,0.0002824351267986413,,1.2764858246773152,4.508097587497325
Argentina,ARG,1958,44192510.0,19695358,9083.0,25974162.0,88193976.0,208166620.0,2.2438033368065713,178892936714.0,0.0002470332860075494,,1.318796134601869,4.477906722995337
Argentina,ARG,1959,48948800.0,20024528,8354.0,27053202.0,90311976.0,215973390.0,2.4444421361642084,167284906912.0,0.00029260739001247404,,1.3510032296391705,4.510067653030323
Argentina,ARG,1960,48764500.0,20349748,8861.0,27888604.0,91674400.0,210402430.0,2.3963196006161844,180319117028.0,0.00027043444313465577,0.5194527544007734,1.3704643418680171,4.5049403068775105
Argentina,ARG,1961,51126708.0,20680658,9344.0,28629280.0,95225624.0,226705090.0,2.472199288823402,193240068352.0,0.0002645761225196278,,1.3843505366221907,4.6045741871462695
Argentina,ARG,1962,53640124.0,21020364,9049.0,28338490.0,95941064.0,229032480.0,2.5518170855652165,190213273836.0,0.0002819998989463164,,1.34814458969407,4.5641961290489546
Argentina,ARG,1963,50032660.0,21364018,8695.0,27424872.0,90947950.0,221557900.0,2.3419124623467367,185760136510.0,0.00026934013367990067,,1.283694481066249,4.257062037674748
Argentina,ARG,1964,55670040.0,21708488,9446.0,28770286.0,95592310.0,234931570.0,2.5644365466632224,205058377648.0,0.0002714838605402522,,1.3253012370092287,4.403453156203232
Argentina,ARG,1965,58804852.0,22053662,10155.0,30376732.0,103193940.0,266998980.0,2.666443876758427,223954937610.0,0.00026257448318645266,,1.377400814431635,4.6792201676075384
Argentina,ARG,1966,63072668.0,22403120,10076.0,31502120.0,106750140.0,276498000.0,2.8153519688329127,225733837120.0,0.00027941166820493374,,1.4061487864190345,4.764967558090123
Argentina,ARG,1967,65475984.0,22757014,10200.0,32791128.0,111020744.0,303489280.0,2.87717817460586,232121542800.0,0.00028207629162802547,,1.4409240157781684,4.878528615397433
Argentina,ARG,1968,69009220.0,23112976,10485.0,32442286.0,111639490.0,334967840.0,2.985734939542186,242339553360.0,0.00028476251211656523,,1.4036394967052275,4.83016509860089
Argentina,ARG,1969,77248870.0,23472030,11217.0,31150146.0,107448104.0,307557060.0,3.291103070335203,263285760510.0,0.0002934031443643758,,1.3271176800643147,4.577708191409094
Argentina,ARG,1970,82648000.0,23842804,11639.0,31686868.0,108008640.0,295232670.0,3.4663708177947528,277506395756.0,0.00029782376645714863,0.5547323675409344,1.3289908351383504,4.530030947702292
Argentina,ARG,1971,88847190.0,24223380,12003.0,31598304.0,109724880.0,292922460.0,3.667827941435093,290753230140.0,0.0003055759344693071,,1.304454787069352,4.529709726718567
Argentina,ARG,1972,90066770.0,24612798,12170.0,32825482.0,113874150.0,288795200.0,3.65934706001325,299537751660.0,0.00030068587181702956,,1.333675350522927,4.626623515132249
Argentina,ARG,1973,93976080.0,25020592,12691.0,33795490.0,117219010.0,289288350.0,3.7559494995162384,317536333072.0,0.00029595378610954525,,1.3507070496173712,4.684901540299286
Argentina,ARG,1974,95480620.0,25449752,13284.0,33655790.0,118284450.0,285636380.0,3.751730861660263,338074505568.0,0.00028242478633395534,,1.322440784491731,4.647764347566137
Argentina,ARG,1975,94845784.0,25875562,12946.0,34334628.0,120238660.0,282480580.0,3.6654579328557193,334985025652.0,0.00028313439926276216,,1.3269133246265337,4.64680380661877
Argentina,ARG,1976,99699540.0,26290258,12696.0,35558350.0,123462000.0,287433440.0,3.7922617571877764,333781115568.0,0.00029869736587805426,,1.3525295187289528,4.696112149222727
Argentina,ARG,1977,100706340.0,26713780,13236.0,35792700.0,127542180.0,289506020.0,3.7698274074279268,353583592080.0,0.000284816213918701,,1.3398590540163167,4.774396584833745
Argentina,ARG,1978,102556160.0,27146124,12444.0,35004180.0,123162210.0,282132500.0,3.777930138387344,337806367056.0,0.0003035945144959293,,1.2894724860167883,4.5370090404066525
Argentina,ARG,1979,110616820.0,27584138,13114.0,34836016.0,122745840.0,286775140.0,4.010160477010374,361738385732.0,0.00030579231943040833,,1.2629002943648266,4.449870429157511
Argentina,ARG,1980,108656930.0,28024808,13080.0,34263980.0,121757870.0,285771200.0,3.877169470706097,366564488640.0,0.0002964196843047475,0.5571789375898372,1.222630320964197,4.3446460007861605
Argentina,ARG,1981,101969360.0,28471284,12125.0,33915270.0,119372920.0,300691170.0,3.5814809054625005,345214318500.0,0.0002953798684917526,,1.1912097115114302,4.192748033422026
Argentina,ARG,1982,103351890.0,28922768,11550.0,33636096.0,117681850.0,287584770.0,3.573374789024342,334057970400.0,0.0003093830986168262,,1.162962549089354,4.0688308255973284
Argentina,ARG,1983,105142856.0,29377144,11775.0,34002120.0,120497940.0,287770200.0,3.579070041662321,345915870600.0,0.0003039549929224901,,1.1574345007806068,4.101758155932381
Argentina,ARG,1984,106452510.0,29832200,11837.0,34072310.0,121921224.0,289181020.0,3.568376117081543,353123751400.0,0.0003014595013163422,,1.142131991606385,4.08690019509121
Argentina,ARG,1985,100531990.0,30287120,10895.0,33783516.0,121406290.0,275739460.0,3.319298434450024,329978172400.0,0.0003046625456126685,,1.1154416794994044,4.008512199245092
Argentina,ARG,1986,104151060.0,30748332,11515.0,33094302.0,120283930.0,276288960.0,3.3872100769563693,354067042980.0,0.0002941563245294285,,1.0762958459014949,3.9118847162181023
Argentina,ARG,1987,114878424.0,31216450,11633.0,32811512.0,118502984.0,284476300.0,3.6800604809323287,363140962850.0,0.0003163466415311896,,1.0510968415691087,3.7961710572470606
Argentina,ARG,1988,121405960.0,31690790,11244.0,32919946.0,121773670.0,302309380.0,3.830954040590342,356331242760.0,0.00034071096056477603,,1.038785905936709,3.8425570962415265
Argentina,ARG,1989,117021370.0,32165770,10393.0,32593484.0,123232910.0,306202400.0,3.6380714654118336,334298847610.0,0.0003500501746764008,,1.013297178957631,3.831181718951544
Argentina,ARG,1990,112079090.0,32637658,10254.0,33226122.0,124029220.0,312300930.0,3.434042050443693,334666545132.0,0.0003348978009014719,0.49249341315470785,1.0180302152807656,3.8001875011987685
Argentina,ARG,1991,117505740.0,33105766,11223.984,33189784.0,123720360.0,342053340.0,3.549404052454186,371578587891.744,0.0003162338838378766,,1.0025378660623652,3.7371242218047453
Argentina,ARG,1992,121230584.0,33568280,12267.084,33922270.0,125928376.0,345811900.0,3.6114624878009836,411784910495.52,0.00029440268671845595,,1.0105453719999953,3.7514098428635605
Argentina,ARG,1993,117777490.0,34027240,12926.795,33528086.0,125236030.0,339342560.0,3.461270734858308,439863155895.8,0.00026775938930402376,,0.9853307526558134,3.6804639459444846
Argentina,ARG,1994,122229000.0,34488696,13571.38,34632530.0,127056230.0,347439300.0,3.544030774605105,468059199120.48,0.000261140044314219,,1.004170467912153,3.6839963447733717
Argentina,ARG,1995,127764860.0,34946116,13086.036,34738076.0,129738570.0,356630200.0,3.6560532220519155,457306132036.176,0.0002793858447318894,,0.9940468348471114,3.712531887663854
Argentina,ARG,1996,134762060.0,35389360,13715.227,35018820.0,126677630.0,362325020.0,3.807982399229599,485373105784.72003,0.0002776463269058251,,0.9895296213325135,3.5795400086353637
Argentina,ARG,1997,137641470.0,35815970,14722.6455,35382580.0,127258900.0,367456300.0,3.843019468689526,527305829548.635,0.0002610277798707797,,0.9878995319685604,3.553132862239945
Argentina,ARG,1998,139451890.0,36233196,15185.959,35052776.0,124244240.0,368377120.0,3.848732802924699,550235828894.964,0.00025344022085959137,,0.9674215876512798,3.429016860671082
Argentina,ARG,1999,147285120.0,36653030,14577.832,35286396.0,128997496.0,383432300.0,4.018361374216538,534321713630.96,0.00027564876411091427,,0.9627142967443619,3.519422432470112
Argentina,ARG,2000,142358350.0,37070772,14368.942,37087884.0,130417690.0,385378980.0,3.8401776472310853,532667772763.22394,0.0002672554212572565,0.5592852145252564,1.000461603551175,3.518073214121357
Argentina,ARG,2001,134003940.0,37480492,13651.981,36851676.0,130215224.0,388310700.0,3.5752983178555926,511682964654.652,0.0002618886092689107,,0.9832228456339367,3.474213305417656
Argentina,ARG,2002,124392350.0,37885024,12094.772,37261804.0,133590740.0,412077630.0,3.2834174791601027,458210727494.528,0.0002714741112242631,,0.9835497002720653,3.5262150025297596
Argentina,ARG,2003,134631000.0,38278164,13088.565,40966656.0,142616130.0,488260030.0,3.517174961683115,501006237594.66003,0.00026872120524160705,,1.0702356570706997,3.725782929400689
Argentina,ARG,2004,157043400.0,38668796,14183.226,41247740.0,145275630.0,545758500.0,4.061243592895936,548448272815.896,0.00028634131564257215,,1.0666931548631615,3.756921472289957
Argentina,ARG,2005,161434200.0,39070504,15344.157,40940620.0,143781870.0,565520400.0,4.131868890147923,599503947445.1279,0.0002692796280791394,,1.0478651619134476,3.680061818501241
Argentina,ARG,2006,174609000.0,39476856,16490.473,42187016.0,146327440.0,587787700.0,4.423072597270664,650992027992.8881,0.0002682198744251098,,1.0686518703515802,3.7066639754695765
Argentina,ARG,2007,174245760.0,39876116,17891.943,44235120.0,143260080.0,536159580.0,4.36967732765147,713461194533.388,0.00024422598080328504,,1.1093136553218974,3.592628730441049
Argentina,ARG,2008,188106000.0,40273770,18520.305,43387136.0,140937040.0,522153400.0,4.670682680066951,745882503899.85,0.0002521925357096955,,1.0773050548781502,3.4994747201466363
Argentina,ARG,2009,178949200.0,40684344,17328.977,38226548.0,134848030.0,585310660.0,4.398478195936993,705018061436.088,0.00025382214979782086,,0.9395886535616748,3.314494391257728
Argentina,ARG,2010,186733140.0,41100124,18979.992,39054404.0,125633704.0,552513800.0,4.543371693963746,780080024719.0079,0.0002393769024751826,0.5596786893506412,0.9502259409241685,3.0567718968439124
Argentina,ARG,2011,190273780.0,41520736,20003.0,40004056.0,124832340.0,543097800.0,4.582620597091535,830539282208.0,0.00022909666535477353,,0.963471745780229,3.0065059540370385
Argentina,ARG,2012,191292110.0,41952364,19599.0,39553110.0,127813270.0,513987680.0,4.559745667729237,822224382036.0,0.00023265195508593485,,0.9428100404544545,3.046628552326634
Argentina,ARG,2013,189537740.0,42388268,19873.0,40851070.0,128777750.0,479993100.0,4.47146696345319,842382049964.0,0.0002250021115812001,,0.9637352958134549,3.0380517080811136
Argentina,ARG,2014,188396530.0,42824064,19183.0,41363220.0,130267810.0,464207300.0,4.39931460031444,821494019712.0,0.00022933402493428766,,0.9658873104617067,3.0419301166745876
Argentina,ARG,2015,191743840.0,43257064,19502.0,41064812.0,130767810.0,455054300.0,4.432659599828597,843599262128.0,0.00022729256485635302,,0.9493203699631579,3.0230394277336994
Argentina,ARG,2016,189920430.0,43668236,18875.0,43722708.0,133253420.0,442655870.0,4.349166520030715,824237954500.0,0.000230419418279773,0.5346228302460944,1.001247405551257,3.0514953706854566
Argentina,ARG,2017,186898880.0,44054616,19200.906,46047880.0,137304060.0,426603140.0,4.242435798328148,845888540682.096,0.00022094977176223603,0.517772229661645,1.0452452927974676,3.1166781705690045
